0,92,67
1,91,66
2,91,65
3,91,65
4,90,64
5,89,64
6,89,63
7,89,63
8,88,62
9,88,61
10,88,61
11,88,61
12,87,61
13,87,60
14,85,59
15,85,59
16,85,58
17,85,58
18,86,59
19,86,60
20,86,59
21,85,59
22,85,58
23,87,57
24,89,61
25,91,58
26,89,58
27,89,58
28,90,55
29,92,56
30,93,57
31,92,57
32,91,55
33,92,57
34,93,59
35,93,60
36,93,60
37,92,58
38,91,58
39,91,57
40,90,58
41,90,59
42,88,58
43,87,55
44,85,58
45,84,57
46,83,57
47,82,59
48,80,60
49,79,61
50,79,62
51,78,62
52,76,63
53,77,66
54,76,69
55,77,68
56,75,68
57,72,67
58,70,68
59,68,68
60,68,66
61,68,66
62,67,69
63,67,67
64,67,67
65,67,66
66,66,65
67,66,67
68,67,66
69,67,67
70,68,66
71,66,66
72,66,66
73,66,64
74,67,62
75,66,62
76,66,61
77,66,58
78,66,60
79,67,58
80,68,58
81,70,59
82,70,57
83,71,56
84,72,55
85,74,55
86,76,55
87,79,56
88,85,54
89,91,55
90,94,54
91,97,53
92,100,54
93,103,53
94,103,53
95,104,54
96,106,54
97,105,53
98,103,53
99,104,55
100,104,54
101,104,55
102,103,53
103,99,52
104,100,52
105,96,53
106,95,55
107,93,54
108,91,54
109,90,54
110,88,56
111,86,56
112,84,54
113,85,54
114,83,53
115,83,53
116,81,54
117,80,56
118,79,55
119,79,53
120,79,54
121,78,55
122,77,53
123,77,54
124,77,54
125,76,54
126,76,52
127,75,52
128,74,53
129,73,53
130,74,52
131,74,53
132,73,52
133,73,52
134,72,54
135,73,53
136,73,53
137,73,53
138,74,54
139,75,54
140,75,53
141,75,52
142,76,53
143,76,53
144,75,53
145,76,55
146,76,55
147,77,56
148,78,55
149,78,53
150,78,54
151,79,54
152,80,54
153,80,54
154,79,54
155,80,54
156,79,51
157,79,51
158,80,52
159,79,52
160,79,52
161,80,53
162,80,52
163,80,53
164,80,54
165,81,56
166,82,56
167,82,57
168,82,58
169,81,57
170,82,58
171,81,59
172,81,60
173,82,60
174,83,60
175,84,60
176,85,60
177,84,61
178,84,62
179,85,61
180,84,61
181,84,60
182,83,61
183,84,60
184,85,62
185,84,61
186,87,63
187,88,63
188,87,64
189,86,65
190,88,69
191,88,72
192,89,74
193,89,73
194,89,73
195,89,76
196,90,75
197,89,76
198,91,76
199,90,74
200,90,73
201,90,73
202,89,71
203,90,70
204,91,69
205,92,68
206,93,69
207,95,67
208,96,68
209,95,66
210,94,64
211,94,66
212,92,65
213,93,64
214,93,63
215,91,63
216,90,62
217,88,61
218,85,60
219,84,59
220,83,59
221,81,60
222,77,60
223,75,60
224,75,60
225,72,57
226,72,57
227,70,58
228,71,58
229,70,57
230,71,57
231,71,56
232,71,58
233,73,59
234,74,58
235,74,61
236,76,63
237,75,60
238,76,60
239,76,63
240,78,63
241,78,62
242,80,62
243,81,62
244,84,62
245,83,64
246,84,64
247,84,62
248,83,61
249,85,62
250,86,62
251,86,63
252,84,62
253,86,62
254,83,61
255,82,59
256,81,60
